customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000-ABCDE,Male,0,No,No,51,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.46,1980.86,No
0001-ABCDE,Female,0,No,Yes,47,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Two year,No,Bank transfer (automatic),108.06,5263.9,No
0002-ABCDE,Male,0,No,Yes,4,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,No,Electronic check,90.22,367.85,Yes
0003-ABCDE,Male,1,No,Yes,7,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),106.58,755.38,No
0004-ABCDE,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),57.11,1901.85,Yes
0005-ABCDE,Female,0,Yes,No,48,Yes,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Mailed check,49.97,2458.06,No
0006-ABCDE,Male,1,No,No,72,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,56.82,3923.94,No
0007-ABCDE,Male,1,Yes,No,45,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,No,Credit card (automatic),19.89,873.55,No
0008-ABCDE,Male,1,No,No,72,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,91.92,6652.32,Yes
0009-ABCDE,Female,0,Yes,No,19,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),53.68,1015.0,Yes
0010-ABCDE,Male,0,No,No,63,Yes,Yes,No,No internet service,No,Yes,No internet service,No,No internet service,Two year,Yes,Mailed check,49.96,2995.07,No
0011-ABCDE,Male,0,No,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,79.01,3099.65,Yes
0012-ABCDE,Male,1,Yes,No,67,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,No,Bank transfer (automatic),62.5,4346.12,No
0013-ABCDE,Male,1,Yes,Yes,59,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,No,Credit card (automatic),118.05,7091.62,No
0014-ABCDE,Female,0,No,Yes,69,Yes,No,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,54.34,3764.86,No
0015-ABCDE,Male,0,No,No,13,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),80.62,1096.35,Yes
0016-ABCDE,Female,0,Yes,No,47,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),49.79,2251.19,Yes
0017-ABCDE,Female,1,Yes,Yes,61,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),119.04,7434.2,No
0018-ABCDE,Female,1,No,Yes,31,Yes,No,No,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),63.4,1892.36,Yes
0019-ABCDE,Male,0,Yes,No,22,No,Yes,DSL,Yes,No internet service,No,Yes,No internet service,No,Two year,Yes,Credit card (automatic),82.68,1797.47,No
0020-ABCDE,Female,0,No,No,43,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Two year,No,Bank transfer (automatic),30.93,1341.36,No
0021-ABCDE,Male,0,No,Yes,67,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),92.77,6362.95,No
0022-ABCDE,Female,1,No,No,54,No,No phone service,DSL,No,Yes,Yes,Yes,No,No internet service,One year,Yes,Credit card (automatic),45.46,2333.01,No
0023-ABCDE,Female,1,No,No,10,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Credit card (automatic),63.76,622.34,Yes
0024-ABCDE,Female,1,Yes,No,42,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No,Yes,One year,Yes,Electronic check,108.08,4556.7,Yes
0025-ABCDE,Female,0,Yes,Yes,64,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,117.0,7512.62,No
0026-ABCDE,Female,0,Yes,Yes,21,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Electronic check,61.31,1305.23,Yes
0027-ABCDE,Female,0,Yes,Yes,66,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,One year,No,Mailed check,103.15,6674.37,No
0028-ABCDE,Female,0,Yes,No,41,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,23.44,964.94,No
0029-ABCDE,Female,1,Yes,No,24,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,Yes,Electronic check,104.45,2429.04,Yes
0030-ABCDE,Male,1,Yes,Yes,35,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,Yes,Electronic check,82.21,2787.25,No
0031-ABCDE,Male,1,No,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,67.85,3828.69,No
0032-ABCDE,Female,1,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,108.78,3323.93,Yes
0033-ABCDE,Female,0,Yes,No,57,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,104.22,5715.04,Yes
0034-ABCDE,Female,0,No,Yes,47,Yes,Yes,No,Yes,No internet service,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),48.29,2184.02,No
0035-ABCDE,Male,1,Yes,Yes,35,Yes,No phone service,No,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,98.73,3478.12,Yes
0036-ABCDE,Female,1,Yes,No,19,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),28.15,522.55,Yes
0037-ABCDE,Male,0,No,No,8,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),101.92,806.59,Yes
0038-ABCDE,Male,0,Yes,No,26,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),86.9,2236.98,Yes
0039-ABCDE,Male,0,Yes,Yes,71,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,No,Electronic check,26.96,1852.63,No
0040-ABCDE,Male,1,Yes,No,30,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,87.67,2498.94,Yes
0041-ABCDE,Male,0,No,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,77.21,559.56,Yes
0042-ABCDE,Female,0,Yes,Yes,67,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,78.64,5382.16,No
0043-ABCDE,Female,0,Yes,No,65,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),47.67,3157.59,Yes
0044-ABCDE,Female,0,No,Yes,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,45.18,1634.04,No
0045-ABCDE,Female,0,Yes,Yes,25,No,Yes,No,Yes,No internet service,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),95.78,2442.62,Yes
0046-ABCDE,Female,0,No,No,37,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),44.19,1706.27,Yes
0047-ABCDE,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,63.52,64.57,Yes
0048-ABCDE,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),88.87,1301.74,No
0049-ABCDE,Female,0,No,No,37,Yes,Yes,DSL,Yes,No,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),26.12,973.26,No
0050-ABCDE,Male,0,No,No,13,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),78.64,1016.42,Yes
0051-ABCDE,Female,1,Yes,No,8,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Electronic check,78.12,628.49,Yes
0052-ABCDE,Male,0,No,Yes,5,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,87.79,439.72,Yes
0053-ABCDE,Female,0,No,Yes,60,Yes,No phone service,No,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),55.73,3463.77,No
0054-ABCDE,Male,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),63.8,64.77,Yes
0055-ABCDE,Female,0,Yes,Yes,36,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),51.66,1801.88,No
0056-ABCDE,Female,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),100.43,3361.45,Yes
